ppn,phase,condition,response,reward,count,sum,percent,group
36,c,lh,l,5,38,99,38.38383838383838,lhl
36,c,lm,l,5,43,98,43.87755102040816,lml
36,c,lm,m,3,55,98,56.12244897959183,lmm
36,c,mh,h,1,57,99,57.57575757575758,mhh
36,c,mh,m,3,42,99,42.42424242424242,mhm
36,lr,h,1,1,91,98,92.85714285714286,h1
36,lr,l,5,5,92,98,93.87755102040816,l5
36,lr,m,3,3,95,100,95.0,m3
36,t,lh,h,1,59,100,59.0,lhh
36,t,lh,l,5,41,100,41.0,lhl
36,t,lm,l,5,58,100,57.99999999999999,lml
36,t,lm,m,3,42,100,42.0,lmm
36,t,mh,h,1,56,100,56.00000000000001,mhh
36,t,mh,m,3,44,100,44.0,mhm
37,c,lh,h,3,46,99,46.464646464646464,lhh
37,c,lh,l,5,53,99,53.535353535353536,lhl
37,c,lm,l,5,45,98,45.91836734693878,lml
37,c,lm,m,1,53,98,54.08163265306123,lmm
37,c,mh,h,3,40,99,40.4040404040404,mhh
37,c,mh,m,1,59,99,59.59595959595959,mhm
37,lr,h,3,3,96,99,96.96969696969697,h3
37,lr,l,5,5,97,100,97.0,l5
37,lr,m,1,1,96,99,96.96969696969697,m1
37,t,lh,h,3,32,100,32.0,lhh
37,t,lh,l,5,68,100,68.0,lhl
37,t,lm,l,5,50,100,50.0,lml
37,t,lm,m,1,50,100,50.0,lmm
37,t,mh,h,3,32,100,32.0,mhh
37,t,mh,m,1,68,100,68.0,mhm
38,c,lh,h,1,33,96,34.375,lhh
38,c,lh,l,3,63,96,65.625,lhl
38,c,lm,l,3,52,97,53.608247422680414,lml
38,c,lm,m,5,45,97,46.391752577319586,lmm
38,c,mh,h,1,44,95,46.31578947368421,mhh
38,c,mh,m,5,51,95,53.68421052631579,mhm
38,lr,h,1,1,96,100,96.0,h1
38,lr,l,3,3,95,100,95.0,l3
38,lr,m,5,5,95,99,95.95959595959596,m5
38,t,lh,h,1,53,99,53.535353535353536,lhh
38,t,lh,l,3,46,99,46.464646464646464,lhl
38,t,lm,l,3,51,98,52.04081632653062,lml
38,t,lm,m,5,47,98,47.95918367346938,lmm
38,t,mh,h,1,48,100,48.0,mhh
38,t,mh,m,5,52,100,52.0,mhm
40,c,lh,h,3,38,98,38.775510204081634,lhh
40,c,lh,l,5,60,98,61.224489795918366,lhl
40,c,lm,l,5,50,95,52.63157894736842,lml
40,c,lm,m,1,45,95,47.368421052631575,lmm
40,c,mh,h,3,57,97,58.76288659793815,mhh
40,c,mh,m,1,40,97,41.23711340206185,mhm
40,lr,h,3,3,82,99,82.82828282828282,h3
40,lr,l,5,5,85,98,86.73469387755102,l5
40,lr,m,1,1,89,100,89.0,m1
40,t,lh,h,3,48,95,50.526315789473685,lhh
40,t,lh,l,5,47,95,49.473684210526315,lhl
40,t,lm,l,5,51,94,54.25531914893617,lml
40,t,lm,m,1,43,94,45.744680851063826,lmm
40,t,mh,h,3,38,90,42.22222222222222,mhh
40,t,mh,m,1,52,90,57.77777777777777,mhm
41,c,lh,h,5,43,100,43.0,lhh
41,c,lh,l,3,57,100,56.99999999999999,lhl
41,c,lm,l,3,49,99,49.494949494949495,lml
41,c,lm,m,1,50,99,50.505050505050505,lmm
41,c,mh,h,5,45,100,45.0,mhh
41,c,mh,m,1,55,100,55.00000000000001,mhm
41,lr,h,5,5,96,100,96.0,h5
41,lr,l,3,3,93,99,93.93939393939394,l3
41,lr,m,1,1,96,99,96.96969696969697,m1
41,t,lh,h,5,53,99,53.535353535353536,lhh
41,t,lh,l,3,46,99,46.464646464646464,lhl
41,t,lm,l,3,50,100,50.0,lml
41,t,lm,m,1,50,100,50.0,lmm
41,t,mh,h,5,46,97,47.42268041237113,mhh
41,t,mh,m,1,51,97,52.57731958762887,mhm
42,c,lh,h,5,65,98,66.3265306122449,lhh
42,c,lh,l,1,33,98,33.6734693877551,lhl
42,c,lm,l,1,46,98,46.93877551020408,lml
42,c,lm,m,3,52,98,53.06122448979592,lmm
42,c,mh,h,5,56,98,57.14285714285714,mhh
42,c,mh,m,3,42,98,42.857142857142854,mhm
42,lr,h,5,5,90,100,90.0,h5
42,lr,l,1,1,94,100,94.0,l1
42,lr,m,3,3,92,99,92.92929292929293,m3
42,t,lh,h,5,60,99,60.60606060606061,lhh
42,t,lh,l,1,39,99,39.39393939393939,lhl
42,t,lm,l,1,45,99,45.45454545454545,lml
42,t,lm,m,3,54,99,54.54545454545454,lmm
42,t,mh,h,5,55,99,55.55555555555556,mhh
42,t,mh,m,3,44,99,44.44444444444444,mhm
43,c,lh,h,1,54,99,54.54545454545454,lhh
43,c,lh,l,5,45,99,45.45454545454545,lhl
43,c,lm,l,5,50,98,51.02040816326531,lml
43,c,lm,m,3,48,98,48.97959183673469,lmm
43,c,mh,h,1,46,100,46.0,mhh
43,c,mh,m,3,54,100,54.0,mhm
43,lr,h,1,1,93,100,93.0,h1
43,lr,l,5,5,95,98,96.93877551020408,l5
43,lr,m,3,3,98,100,98.0,m3
